date,weight,bmi,fat
2019-12-01 07:13:31,105.6,36.11,
2019-12-01 22:12:17,104.6,35.77,
2019-12-01 23:59:59,105.6,36.11,
2019-12-02 09:17:28,105.4,36.05,
2019-12-02 21:56:53,105.0,35.91,
2019-12-03 08:38:53,104.8,35.84,
2019-12-03 22:24:19,103.6,35.43,
2019-12-04 08:55:40,103.8,35.5,
2019-12-04 22:41:53,104.4,35.7,
2019-12-05 08:26:48,104.2,35.63,
2019-12-05 11:34:29,103.6,35.43,
2019-12-05 23:08:12,104.2,35.63,
2019-12-06 09:05:05,104.0,35.57,
2019-12-06 23:06:49,104.2,35.63,
2019-12-07 07:26:51,103.6,35.43,
2019-12-07 23:40:28,103.6,35.43,
2019-12-08 08:01:43,103.8,35.5,
2019-12-08 21:15:34,103.4,35.36,
2019-12-09 06:56:52,103.6,35.43,
2019-12-10 00:52:00,103.8,35.5,
2019-12-10 08:43:27,103.8,35.5,
2019-12-10 12:22:51,103.2,35.29,
2019-12-10 21:58:54,102.4,35.02,
2019-12-11 08:22:30,103.2,35.29,
2019-12-11 17:50:08,102.8,35.16,
2019-12-12 09:21:06,103.2,35.29,
2019-12-13 00:51:43,102.8,35.16,
2019-12-13 09:18:36,103.6,35.43,
2019-12-13 20:52:47,102.2,34.95,
2019-12-14 09:56:25,102.8,35.16,
2019-12-15 02:31:08,103.2,35.29,
2019-12-15 09:36:57,103.4,35.36,
2019-12-15 09:37:25,103.2,35.29,
2019-12-15 14:55:38,102.8,35.16,
2019-12-15 21:21:28,102.2,34.95,
2019-12-16 09:51:50,103.4,35.36,
2019-12-16 21:52:48,102.8,35.16,
2019-12-17 12:03:09,103.2,35.29,
2019-12-17 12:25:08,102.8,35.16,
2019-12-20 13:31:16,102.4,35.02,
2019-12-21 10:34:59,104.4,35.7,
2019-12-22 08:05:16,104.6,35.77,
2019-12-24 22:46:35,102.2,34.95,
2019-12-25 07:01:47,102.0,34.88,
2019-12-26 00:26:48,102.0,34.88,
2019-12-26 19:51:48,101.2,34.61,
2019-12-27 08:32:25,101.8,34.81,
2019-12-29 20:34:42,100.2,34.27,
2019-12-31 01:37:20,101.6,34.75,
2019-12-31 15:27:41,100.8,34.47,
2020-01-03 10:44:44,101.2,34.61,
2020-01-07 18:21:25,99.8,34.13,
2020-01-09 10:34:01,100.8,34.47,
2020-01-09 23:52:16,99.4,33.99,
2020-01-10 22:54:43,98.4,33.65,
2020-01-11 10:04:03,98.0,33.51,
2020-01-11 16:50:26,98.2,33.58,
2020-01-11 21:40:19,97.6,33.38,
2020-01-13 10:51:55,97.8,33.45,
2020-01-13 21:55:52,97.6,33.38,
2020-01-14 10:21:03,98.6,33.72,
2020-01-14 10:48:33,98.2,33.58,
2020-01-14 22:13:07,96.8,33.1,
2020-01-15 10:01:44,97.6,33.38,
2020-01-16 03:31:43,98.6,33.72,
2020-01-16 10:25:00,97.8,33.45,
2020-01-17 01:00:52,98.2,33.58,
